sku,Brand,Category,sub_category,sub_sub_category,Title,Description,Condition,Price,Image,Product Line,Product Series,Model,OEM Manufacturer,Product Type,# of Cores,Processor Speed,Socket Type
507966-001, HP ,Processors,Laptop Processors,NA,507966-001 - HP 2.00GHz 1066MHz FSB 3MB L2 Cache Socket PGA478 Intel Core 2 Duo P7370 Dual-core (2 Core) Processor,HP 507966-001 2.00GHz 1066MHz FSB 3MB L2 Cache Socket PGA478 Intel Core 2 Duo P7370 Dual-core (2 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/507966-001.webp,Core 2 Duo ,P7000 ,P7370 ,HP ,Micro Processor ,Dual-core (2 Core) ,2 GHz,Socket PGA-478 
507967-002, HP ,Processors,Laptop Processors,NA,507967-002 - HP 2.00GHz PGA478 Core 2 Duo P7350 2-Core Processor,HP 507967-002 2.00GHz 1066MHz FSB 3MB L2 Cache Socket BGA479/PGA478 Intel Core 2 Duo P7350 Dual-core (2 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/507967-002.webp,Core 2 Duo ,P7000 ,P7370 ,HP ,Micro Processor ,Dual-core (2 Core) ,2.00 GHz,Socket PGA-478 
512213-800, HP ,Processors,Laptop Processors,NA,512213-800 - HP 2.00GHz 1066MHz FSB 3MB L2 Cache Socket PGA478 Intel Core 2 Duo P7370 Dual-core (2 Core) Processor,HP 512213-800 2.00GHz 1066MHz FSB 3MB L2 Cache Socket PGA478 Intel Core 2 Duo P7370 Dual-core (2 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/512213-800.webp,Core 2 Duo ,P7000 ,P7370 ,HP ,Micro Processor ,Dual-core (2 Core) ,2 GHz,Socket PGA-478 
519060-001, HP ,Processors,Laptop Processors,NA,519060-001 - HP 2.00GHz 1066MHz FSB 3MB L2 Cache Socket PGA478 Intel Core 2 Duo P7370 Dual-core (2 Core) Processor,HP 519060-001 2.00GHz 1066MHz FSB 3MB L2 Cache Socket PGA478 Intel Core 2 Duo P7370 Dual-core (2 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/519060-001.webp,Core 2 Duo ,P7000 ,P7370 ,HP ,Micro Processor ,Dual-core (2 Core) ,2 GHz,Socket PGA-478 
519178-001, HP ,Processors,Laptop Processors,NA,519178-001 - HP 2.00GHz 1066MHz FSB 3MB L2 Cache Socket PGA478 Intel Core 2 Duo P7370 Dual-core (2 Core) Processor,HP 519178-001 2.00GHz 1066MHz FSB 3MB L2 Cache Socket PGA478 Intel Core 2 Duo P7370 Dual-core (2 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/519178-001.webp,Core 2 Duo ,P7000 ,P7370 ,HP ,Micro Processor ,Dual-core (2 Core) ,2 GHz,Socket PGA-478 
5196-0001, HP ,Processors,Laptop Processors,NA,5196-0001 - HP 2.00GHz 1066MHz FSB 3MB L2 Cache Socket PGA478 Intel Core 2 Duo P7370 Dual-core (2 Core) Processor,HP 5196-0001 2.00GHz 1066MHz FSB 3MB L2 Cache Socket PGA478 Intel Core 2 Duo P7370 Dual-core (2 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/5196-0001.webp,Core 2 Duo ,P7000 ,P7370 ,HP ,Micro Processor ,Dual-core (2 Core) ,2 GHz,Socket PGA-478 
PX169-69001, HP ,Processors,Desktop Processors,NA,PX169-69001 - HP 2.80GHz PLGA775 Pentium D 820 2-Core Processor,HP PX169-69001 2.80GHz 800MHz FSB 2MB L2 Cache Socket PLGA775 Intel Pentium D 820 Dual-core (2 Core) Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/PX169-69001.webp,Pentium ,,,HP ,Micro Processor ,Dual-core (2 Core) ,2.80 GHz,Socket PLGA-775 
RF856-69001, HP ,Processors,Desktop Processors,NA,RF856-69001 - HP 3.00GHz Socket PLGA775 Pentium D 925 2-Core Processor,HP RF856-69001 3.00GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 925 Dual-core (2 Core) Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/RF856-69001.webp,Pentium D ,,Pentium 925 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.00 GHz,Socket PLGA-775 
410117-B21, HP ,Processors,Desktop Processors,NA,410117-B21 - HP 3.20GHz PLGA775 Pentium D 940 2-Core Processor,HP 410117-B21 3.20GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 940 Dual-core (2 Core) Processor For ProLiant ML310 G3,Refurbished,$102.00,https://cdn.cmshardware.com/images/Images/Products/410117-B21.webp,Pentium D ,,940 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.20 GHz,Socket PLGA-775 
411147-B21, HP ,Processors,Desktop Processors,NA,411147-B21 - HP 3.20GHz PLGA775 Pentium D 940 2-Core Processor,HP 411147-B21 3.20GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 940 Dual-core (2 Core) Processor Kit For ProLiant DL320 G4,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/411147-B21.webp,Pentium D ,,940 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.20 GHz,Socket PLGA-775 
411147-L21, HP ,Processors,Desktop Processors,NA,411147-L21 - HP 3.20GHz PLGA775 Pentium D 940 2-Core Processor,HP 411147-L21 3.20GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 940 Dual-core (2 Core) Processor Kit For ProLiant DL320 G4,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/411147-L21.webp,Pentium D ,,940 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.20 GHz,Socket PLGA-775 
433357-B21, HP ,Processors,Desktop Processors,NA,433357-B21 - HP 3.00GHz Socket PLGA775 Pentium D 925 2-Core Processor,HP 433357-B21 3.00GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 925 Dual-core (2 Core) Processor,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/433357-B21.webp,Pentium D ,,Pentium 925 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.00 GHz,Socket PLGA-775 
433357-L21, HP ,Processors,Desktop Processors,NA,433357-L21 - HP 3.00GHz Socket PLGA775 Pentium D 925 2-Core Processor,HP 433357-L21 3.00GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 925 Dual-core (2 Core) Processor Kit For ProLiant ML110 G4,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/433357-L21.webp,Pentium D ,,Pentium 925 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.00 GHz,Socket PLGA-775 
433929-L21, HP ,Processors,Desktop Processors,NA,433929-L21 - HP 2.80GHz PLGA775 Pentium D 820 2-Core Processor,HP 433929-L21 2.80GHz 800MHz FSB 2MB L2 Cache Socket PLGA775 Intel Pentium D 820 Dual-core (2 Core) Processor Kit For ProLiant DL320 G5,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/433929-L21.webp,Pentium ,,,HP ,Micro Processor ,Dual-core (2 Core) ,2.80 GHz,Socket PLGA-775 
433971-B21, HP ,Processors,Desktop Processors,NA,433971-B21 - HP 3.00GHz Socket PLGA775 Pentium D 925 2-Core Processor,HP 433971-B21 3.00GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 925 Dual-core (2 Core) Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/433971-B21.webp,Pentium D ,,Pentium 925 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.00 GHz,Socket PLGA-775 
433972-B21, HP ,Processors,Desktop Processors,NA,433972-B21 - HP 3.40GHz Socket PLGA775 Pentium D 945 2-Core Processor,HP 433972-B21 3.40GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 945 Dual-core (2 Core) Processor For ProLiant ML310 G4,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/433972-B21.webp,Pentium D ,,945 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.40 GHz,Socket PLGA-775 
434081-B21, HP ,Processors,Desktop Processors,NA,434081-B21 - HP 2.80GHz PLGA775 Pentium D 820 2-Core Processor,HP 434081-B21 2.80GHz 800MHz FSB 2MB L2 Cache Socket PLGA775 Intel Pentium D 820 Dual-core (2 Core) Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/434081-B21.webp,Pentium ,,,HP ,Micro Processor ,Dual-core (2 Core) ,2.80 GHz,Socket PLGA-775 
434081-L21, HP ,Processors,Desktop Processors,NA,434081-L21 - HP 2.80GHz PLGA775 Pentium D 820 2-Core Processor,HP 434081-L21 2.80GHz 800MHz FSB 2MB L2 Cache Socket PLGA775 Intel Pentium D 820 Dual-core (2 Core) Processor Kit For ProLiant ML110 G4,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/434081-L21.webp,Pentium ,,,HP ,Micro Processor ,Dual-core (2 Core) ,2.80 GHz,Socket PLGA-775 
440284-L21, HP ,Processors,Desktop Processors,NA,440284-L21 - HP 3.20GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 935 Dual-core (2 Core) Processor,HP 440284-L21 3.20GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 935 Dual-core (2 Core) Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/440284-L21.webp,Pentium D ,,935 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.20 GHz,Socket PLGA-775 
440285-B21, HP ,Processors,Desktop Processors,NA,440285-B21 - HP 3.40GHz Socket PLGA775 Pentium D 945 2-Core Processor,HP 440285-B21 3.40GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 945 Dual-core (2 Core) Processor,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/440285-B21.webp,Pentium D ,,945 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.40 GHz,Socket PLGA-775 
440285-L21, HP ,Processors,Desktop Processors,NA,440285-L21 - HP 3.40GHz Socket PLGA775 Pentium D 945 2-Core Processor,HP 440285-L21 3.40GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 945 Dual-core (2 Core) Processor For ProLiant Servers,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/440285-L21.webp,Pentium D ,,945 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.40 GHz,Socket PLGA-775 
441909-B21, HP ,Processors,Desktop Processors,NA,441909-B21 - HP 3.00GHz Socket PLGA775 Pentium D 925 2-Core Processor,HP 441909-B21 3.00GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 925 Dual-core (2 Core) Processor For ProLiant DL320 G5,Refurbished,$118.00,https://cdn.cmshardware.com/images/Images/Products/441909-B21.webp,Pentium D ,,Pentium 925 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.00 GHz,Socket PLGA-775 
441909-L21, HP ,Processors,Desktop Processors,NA,441909-L21 - HP 3.00GHz Socket PLGA775 Pentium D 925 2-Core Processor,HP 441909-L21 3.00GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 925 Dual-core (2 Core) Processor Kit For ProLiant DL320 G5,Refurbished,$118.00,https://cdn.cmshardware.com/images/Images/Products/441909-L21.webp,Pentium D ,,Pentium 925 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.00 GHz,Socket PLGA-775 
403277-301, HP ,Processors,Desktop Processors,NA,403277-301 - HP 2.80GHz Socket PLGA775 Pentium D 915 2-Core Processor,HP 403277-301 2.80GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 915 Dual-core (2 Core) Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/403277-301.webp,Pentium D ,,915 ,HP ,Micro Processor ,Dual-core (2 Core) ,2.80 GHz,Socket PLGA-775 
436174-001, HP ,Processors,Desktop Processors,NA,436174-001 - HP 2.80GHz Socket PLGA775 Pentium D 915 2-Core Processor,HP 436174-001 2.80GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 915 Dual-core (2 Core) Processor,Refurbished,$66.00,https://cdn.cmshardware.com/images/Images/Products/436174-001.webp,Pentium D ,,915 ,HP ,Micro Processor ,Dual-core (2 Core) ,2.80 GHz,Socket PLGA-775 
444583-001, HP ,Processors,Desktop Processors,NA,444583-001 - HP 2.80GHz Socket PLGA775 Pentium D 915 2-Core Processor,HP 444583-001 2.80GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 915 Dual-core (2 Core) Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/444583-001.webp,Pentium D ,,915 ,HP ,Micro Processor ,Dual-core (2 Core) ,2.80 GHz,Socket PLGA-775 
410813-001, HP ,Processors,Desktop Processors,NA,410813-001 - HP 3.00GHz PLGA775 Pentium D 930 2-Core Processor,HP 410813-001 3.00GHz 800MHz FSB 4MB L2 Cache Socket PLGA775 Intel Pentium D 930 Dual-core (2 Core) Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/410813-001.webp,Pentium D ,,Pentium 925 ,HP ,Micro Processor ,Dual-core (2 Core) ,3.00 GHz,Socket PLGA-775 
680465-002, HP ,Processors,Desktop Processors,NA,680465-002 - HP 3.40GHz Socket LGA1155 Core i3-3240 2-Core Processor,HP 680465-002 3.40GHz 5.00GT/s DMI 3MB L3 Cache Socket FCLGA1155 Intel Core i3-3240 Dual-core (2 Core) Processor,Refurbished,$136.00,https://cdn.cmshardware.com/images/Images/Products/680465-002.webp,Core i3 ,,3240 ,,Micro Processor ,Dual-core (2 Core) ,3.40 GHz,Socket LGA1155 
680645-001, HP ,Processors,Laptop Processors,NA,680645-001 - HP 2.50GHz 5.0GT/s DMI 3MB L3 Cache Socket PGA988 Intel Core i5-3210M Dual Core Processor,HP 680645-001 2.50GHz 5.0GT/s DMI 3MB L3 Cache Socket PGA988 Intel Core i5-3210M Dual Core Processor,Refurbished,$94.00,https://cdn.cmshardware.com/images/Images/Products/680645-001.webp,Core i5 ,,,,Micro Processor ,Dual-core (2 Core) ,2.5 GHz,Socket PGA-988 
D8530A, HP ,Processors,Server Processors,NA,D8530A - HP 550MHz Socket S.E.C.C Intel Xeon Pentium III Processor,HP D8530A 550MHz 1MB L2 Cache Socket S.E.C.C Intel Xeon Pentium III Processor,Refurbished,$152.00,https://cdn.cmshardware.com/images/Images/Products/D8530A.webp,Pentium III Xeon ,,,,Micro Processor ,Single-core (1 Core) ,550 MHz,Slot 2 
D9334-63001, HP ,Processors,Server Processors,NA,D9334-63001 - HP 550MHz Socket SECC Intel Xeon Pentium III Processor,HP D9334-63001 550MHz 1MB L2 Cache Socket S.E.C.C Intel Xeon Pentium III Processor for Netserver LT6000,Refurbished,$88.00,https://cdn.cmshardware.com/images/Images/Products/D9334-63001.webp,Pentium III Xeon ,,,,Micro Processor ,Single-core (1 Core) ,550 MHz,Slot 2 
D9334A, HP ,Processors,Server Processors,NA,D9334A - HP 550MHz Socket S.E.C.C Intel Xeon Pentium III Processor,HP D9334A 550MHz 1MB L2 Cache Socket S.E.C.C Intel Xeon Pentium III Processor for Netserver LT6000,Refurbished,$88.00,https://cdn.cmshardware.com/images/Images/Products/D9334A.webp,Pentium III Xeon ,,,,Micro Processor ,Single-core (1 Core) ,550 MHz,Slot 2 
F3377-69201, HP ,Processors,Laptop Processors,NA,F3377-69201 - HP 1.06GHz Socket PPGA478 Celeron 1-Core Processor,HP F3377-69201 1.06GHz 133MHz FSB 256KB L2 Cache Socket PPGA478 Intel Celeron Single-core (1 Core) Processor,Refurbished,$100.00,https://cdn.cmshardware.com/images/Images/Products/F3377-69201.webp,,,,,Micro Processor ,, 1.06 GHz,Socket P PGA-478 
D8177-63001, HP ,Processors,Desktop Processors,NA,D8177-63001 - HP 433MHz 128KB L2 Cache Intel Celeron Processor,HP D8177-63001 433MHz 66MHz FSB 128KB L2 Cache Intel Celeron Processor,Refurbished,$88.00,https://cdn.cmshardware.com/images/Images/Products/D8177-63001.webp,Celeron ,,,HP ,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
702081-001, HP ,Processors,Laptop Processors,NA,702081-001 - HP 2.40GHz Socket PGA988 Core i7-3630QM 4-Core Processor,HP 702081-001 2.40GHz 5GT/s DMI 6MB SmartCache Socket FCPGA988 Intel Core i7-3630QM Quad Core Processor,Refurbished,$269.00,https://cdn.cmshardware.com/images/Images/Products/702081-001.webp,,,,,Micro Processor ,,2.40 GHz,Socket FCPGA988 
702081-002, HP ,Processors,Laptop Processors,NA,702081-002 - HP 2.40GHz Socket PGA988 Core i7-3630QM 4-Core Processor,HP 702081-002 2.40GHz 5GT/s DMI 6MB SmartCache Socket FCPGA988 Intel Core i7-3630QM Quad Core Processor,Refurbished,$269.00,https://cdn.cmshardware.com/images/Images/Products/702081-002.webp,,,,,Micro Processor ,,2.40 GHz,Socket FCPGA988 
703282-001, HP ,Processors,Desktop Processors,NA,703282-001 - HP 3.10GHz LGA1155 Pentium G2120 2-Core Processor,HP 703282-001 3.10GHz 5.00GT/s DMI 3MB L3 Cache Socket FCLGA1155 Intel Pentium G2120 Dual-core (2 Core) Processor,Refurbished,$144.00,https://cdn.cmshardware.com/images/Images/Products/703282-001.webp,Pentium ,,G2120 ,,Micro Processor ,Dual-core (2 Core) ,3.10 GHz,Socket FCLGA1155 
709500-B21, HP ,Processors,Server Processors,NA,709500-B21 - HP 2.00GHz LGA2011 E5-2640V2 8-Core Processor,HP 709500-B21 2.00GHz 7.20GT/s QPI 20MB L3 Cache Socket FCLGA2011 Intel Xeon E5-2640V2 Octa-core (8 Core) Processor For ProLiant ML350p Gen8 Server,Refurbished,$172.00,https://cdn.cmshardware.com/images/Images/Products/709500-B21.webp,Xeon ,,,,Micro Processor ,Octa-core (8 Core) ,2.00 GHz,Socket FCLGA2011 
D7513-63001, HP ,Processors,Server Processors,NA,D7513-63001 - HP 500MHz Socket SECC Intel Xeon Pentium III Processor,HP D7513-63001 500MHz 512KB L2 Cache Socket S.E.C.C Intel Xeon Pentium III Processor,Refurbished,$200.00,https://cdn.cmshardware.com/images/Images/Products/D7513-63001.webp,Pentium III Xeon ,,,,Micro Processor ,,500 MHz,
D7513-69001, HP ,Processors,Server Processors,NA,D7513-69001 - HP 500MHz Socket SECC Intel Xeon Pentium III Processor,HP D7513-69001 500MHz 512KB L2 Cache Socket S.E.C.C Intel Xeon Pentium III Processor,Refurbished,$200.00,https://cdn.cmshardware.com/images/Images/Products/D7513-69001.webp,Pentium III Xeon ,,,,Micro Processor ,,500 MHz,
D7514-63001, HP ,Processors,Server Processors,NA,D7514-63001 - HP 550MHz Socket SECC330 Xeon Pentium III Processor,HP D7514-63001 550MHz 512KB L2 Cache Socket SECC330 Intel Xeon Pentium III Processor,Refurbished,$202.00,https://cdn.cmshardware.com/images/Images/Products/D7514-63001.webp,Pentium III Xeon ,,,,Micro Processor ,Single-core (1 Core) ,550 MHz,Socket SECC330 
D8530-63001, HP ,Processors,Server Processors,NA,D8530-63001 - HP 550MHz Socket SECC Intel Xeon Pentium III Processor,HP D8530-63001 550MHz 1MB L2 Cache Socket S.E.C.C Intel Xeon Pentium III Processor,Refurbished,$152.00,https://cdn.cmshardware.com/images/Images/Products/D8530-63001.webp,Pentium III Xeon ,,,,Micro Processor ,Single-core (1 Core) ,550 MHz,Slot 2 
D8511-60001, HP ,Processors,Desktop Processors,NA,D8511-60001 - HP 677MHz 133MHz FSB 256MB Cache Socket SECC2495 Intel Pentium III Processor,HP D8511-60001 677MHz 133MHz FSB 256MB Cache Socket SECC2495 Intel Pentium III Processor,Refurbished,$344.00,https://cdn.cmshardware.com/images/Images/Products/D8511-60001.webp,,,,Intel ,Micro Processor ,Quad-core (4 Core) ,677 GHz,SECC495 
D8511-63000, HP ,Processors,Desktop Processors,NA,D8511-63000 - HP 677MHz 256MB Cache Intel Pentium III Processor,HP D8511-63000 677MHz 256MB Cache Intel Pentium III Processor,Refurbished,$344.00,https://cdn.cmshardware.com/images/Images/Products/D8511-63000.webp,,,,Intel ,Micro Processor ,Quad-core (4 Core) ,677 GHz,
D9185-60001, HP ,Processors,Desktop Processors,NA,D9185-60001 - HP 800MHz Slot 1 Pentium III 1-Core Processor,HP D9185-60001 800MHz 133MHz FSB 256KB L2 Cache Socket SECC2/Slot 1 Intel Pentium III Single-core (1 Core) Processor For NetServer LC2000,Refurbished,$58.00,https://cdn.cmshardware.com/images/Images/Products/D9185-60001.webp,Pentium III ,,,,Micro Processor ,Single-core (1 Core) ,800 MHz,Socket PPGA370 
D6119-69001, HP ,Processors,Server Processors,NA,D6119-69001 - HP 400MHz Intel Xeon Pentium II Processor,HP D6119-69001 400MHz 1MB L2 Cache Intel Xeon Pentium II Processor for Netserver LXr 8000,Refurbished,$88.00,https://cdn.cmshardware.com/images/Images/Products/D6119-69001.webp,,,,,Processor Upgrade ,,,
D6741-69001, HP ,Processors,Server Processors,NA,D6741-69001 - HP 450MHz Socket S.E.C.C Xeon Pentium II Processor,HP D6741-69001 450MHz 512MB L2 Cache Socket S.E.C.C Intel Xeon Pentium II Processor,Refurbished,$125.00,https://cdn.cmshardware.com/images/Images/Products/D6741-69001.webp,,,,,Processor Upgrade ,,,
D7007A, HP ,Processors,Server Processors,NA,D7007A - HP 400MHz Socket S.E.C.C Intel Xeon Pentium ll Processor,HP D7007A 400MHz 512KB L2 Cache Socket S.E.C.C Intel Xeon Pentium ll Processor for Netserver LXr 8000,Refurbished,$102.00,https://cdn.cmshardware.com/images/Images/Products/D7007A.webp,,,,,Processor Upgrade ,,,
413682-001, HP ,Processors,Laptop Processors,NA,413682-001 - HP 1.66GHz PPGA478 Core Solo T1300 1-Core Processor,HP 413682-001 1.66GHz 667MHz FSB 2MB L2 Cache Socket PBGA479 / PPGA478 Intel Core Solo T1300 Single-core (1 Core) Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/413682-001.webp,Core Solo ,T1000 ,T1300  ,,Micro Processor ,Single-core (1 Core) ,1.6 GHz,Socket P PGA-478 
407760-001, HP ,Processors,Laptop Processors,NA,407760-001 - HP 1.66GHz PPGA478 Core Solo T1300 1-Core Processor,HP 407760-001 1.66GHz 667MHz FSB 2MB L2 Cache Socket PBGA479 / PPGA478 Intel Core Solo T1300 Single-core (1 Core) Processor,Refurbished,$120.00,https://cdn.cmshardware.com/images/Images/Products/407760-001.webp,Core Solo ,T1000 ,T1300  ,,Micro Processor ,Single-core (1 Core) ,1.6 GHz,Socket P PGA-478 
407764-001, HP ,Processors,Laptop Processors,NA,407764-001 - HP 1.66GHz PPGA478 Core Solo T1300 1-Core Processor,HP 407764-001 1.66GHz 667MHz FSB 2MB L2 Cache Socket PBGA479 / PPGA478 Intel Core Solo T1300 Single-core (1 Core) Processor,Refurbished,$120.00,https://cdn.cmshardware.com/images/Images/Products/407764-001.webp,,,,,,,,
446813-001, HP ,Processors,Laptop Processors,NA,446813-001 - HP 2.00GHz PPGA478 Core Duo T2450 2-Core Processor,HP 446813-001 2.00GHz 533MHz FSB 2MB L2 Cache Socket PPGA478 Intel Core Duo T2450 Dual-core (2 Core) Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/446813-001.webp,Core Duo ,T2000 ,T2450 ,HP ,Micro Processor ,Dual-core (2 Core) ,2 GHz,Socket PGA-478 
462354-001, HP ,Processors,Laptop Processors,NA,462354-001 - HP 1.73GHz PPGA478 Pentium T2370 2-Core Processor,HP 462354-001 1.73GHz 533MHz FSB 1MB L2 Cache Socket PPGA478 Intel Pentium T2370 Dual-core (2 Core) Processor,Refurbished,$66.00,https://cdn.cmshardware.com/images/Images/Products/462354-001.webp,Pentium ,T2000 ,,,Micro Processor ,Dual-core (2 Core) ,1.73 GHz,Socket PGA-478 
399163-001, HP ,Processors,Laptop Processors,NA,399163-001 - HP 1.66GHz PPGA478 Core Solo T1300 1-Core Processor,HP 399163-001 1.66GHz 667MHz FSB 2MB L2 Cache Socket PBGA479 / PPGA478 Intel Core Solo T1300 Single-core (1 Core) Processor,Refurbished,$120.00,https://cdn.cmshardware.com/images/Images/Products/399163-001.webp,Core Solo ,T1000 ,T1300  ,,Micro Processor ,Single-core (1 Core) ,1.6 GHz,Socket P PGA-478 
412332-001, HP ,Processors,Laptop Processors,NA,412332-001 - HP 1.66GHz PPGA478 Core Solo T1300 1-Core Processor,HP 412332-001 1.66GHz 667MHz FSB 2MB L2 Cache Socket PBGA479 / PPGA478 Intel Core Solo T1300 Single-core (1 Core) Processor,Refurbished,$120.00,https://cdn.cmshardware.com/images/Images/Products/412332-001.webp,Core Solo ,T1000 ,T1300  ,,Micro Processor ,Single-core (1 Core) ,1.6 GHz,Socket P PGA-478 
418868-001, HP ,Processors,Laptop Processors,NA,418868-001 - HP 1.66GHz PBGA479 Core Duo T2300 2-Core Processor,HP 418868-001 1.66GHz 667MHz FSB 2MB L2 Cache Socket PBGA479/PPGA478 Intel Core Duo T2300 Dual-core (2 Core) Processor,Refurbished,$120.00,https://cdn.cmshardware.com/images/Images/Products/418868-001.webp,Core 2 Duo ,T2300 ,T2300 ,,Micro Processor ,Dual-core (2 Core) ,1.6 GHz,Socket P PGA-478 
438506-001, HP ,Processors,Laptop Processors,NA,438506-001 - HP 1.83GHz PPGA478 Core Duo T2400 2-Core Processor,HP 438506-001 1.83GHz 667MHz FSB 2MB L2 Cache Socket PPGA478 Intel Core Duo T2400 Dual-core (2 Core) Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/438506-001.webp,Core 2 Duo ,,T2400  ,,Micro Processor ,Dual-core (2 Core) ,1.83 GHz,Socket PGA-478 
467266-001, HP ,Processors,Laptop Processors,NA,467266-001 - HP 2.00GHz PPGA478 Core 2 Duo T7250 2-Core Processor,HP 467266-001 2.00GHz 800MHz FSB 2MB L2 Cache Socket PBGA479 / PPGA478 Intel Core 2 Duo T7250 Dual-core (2 Core) Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/467266-001.webp,Core 2 Duo ,T7000 ,T7250 ,,Micro Processor ,Dual-core (2 Core) ,2.00 GHz,Socket PGA-478 
455757-001, HP ,Processors,Laptop Processors,NA,455757-001 - HP 2.00GHz PPGA478 Core 2 Duo T7250 2-Core Processor,HP 455757-001 2.00GHz 800MHz FSB 2MB L2 Cache Socket PBGA479 / PPGA478 Intel Core 2 Duo T7250 Dual-core (2 Core) Processor For Pavilion DV9000 Notebook Series,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/455757-001.webp,Core 2 Duo ,T7000 ,T7250 ,,Micro Processor ,Dual-core (2 Core) ,2.00 GHz,Socket PGA-478 
457311-001, HP ,Processors,Laptop Processors,NA,457311-001 - HP 2.00GHz PPGA478 Core 2 Duo T7250 2-Core Processor,HP 457311-001 2.00GHz 800MHz FSB 2MB L2 Cache Socket PBGA479 / PPGA478 Intel Core 2 Duo T7250 Dual-core (2 Core) Processor For Pavilion DV9000 Notebook Series,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/457311-001.webp,Core 2 Duo ,T7000 ,T7250 ,,Micro Processor ,Dual-core (2 Core) ,2.00 GHz,Socket PGA-478 
